Slot,3,4,5,6,7,8,9,10,13,14,15,16
S/N,ACDI-079,ACDI-603,ACDI-255,ACDI-202,ACDI-230,ACDI-310,ACDI-065,ACDI-518,ACDI-561,ACDI-227,ACDI-265,unknown_1
0,TOF-N-A-1,TOF-N-A-17,TOF-N-A-33,TOF-S-A-5,TOF-S-A-21,TOF-S-A-37,TOF-UP-A-9,TOF-UP-A-25,TOF-UP-A-41,TOF-DW-A-13,TOF-DW-A-29,TOF-N-A-45
1,TOF-N-A-2,TOF-N-A-18,TOF-N-A-34,TOF-S-A-6,TOF-S-A-22,TOF-S-A-38,TOF-UP-A-10,TOF-UP-A-26,TOF-UP-A-42,TOF-DW-A-14,TOF-DW-A-30,TOF-N-A-46
2,TOF-N-A-3,TOF-N-A-19,TOF-N-A-35,TOF-S-A-7,TOF-S-A-23,TOF-S-A-39,TOF-UP-A-11,TOF-UP-A-27,TOF-UP-A-43,TOF-DW-A-15,TOF-DW-A-31,TOF-S-A-45
3,TOF-N-A-4,TOF-N-A-20,TOF-N-A-36,TOF-S-A-8,TOF-S-A-24,TOF-S-A-40,TOF-UP-A-12,TOF-UP-A-28,TOF-UP-A-44,TOF-DW-A-16,TOF-DW-A-32,TOF-S-A-46
4,TOF-N-A-5,TOF-N-A-21,TOF-N-A-37,TOF-S-A-9,TOF-S-A-25,TOF-S-A-41,TOF-UP-A-13,TOF-UP-A-29,TOF-DW-A-1,TOF-DW-A-17,TOF-DW-A-33,TOF-UP-A-45
5,TOF-N-A-6,TOF-N-A-22,TOF-N-A-38,TOF-S-A-10,TOF-S-A-26,TOF-S-A-42,TOF-UP-A-14,TOF-UP-A-30,TOF-DW-A-2,TOF-DW-A-18,TOF-DW-A-34,TOF-UP-A-46
6,TOF-N-A-7,TOF-N-A-23,TOF-N-A-39,TOF-S-A-11,TOF-S-A-27,TOF-S-A-43,TOF-UP-A-15,TOF-UP-A-31,TOF-DW-A-3,TOF-DW-A-19,TOF-DW-A-35,TOF-DW-A-45
7,TOF-N-A-8,TOF-N-A-24,TOF-N-A-40,TOF-S-A-12,TOF-S-A-28,TOF-S-A-44,TOF-UP-A-16,TOF-UP-A-32,TOF-DW-A-4,TOF-DW-A-20,TOF-DW-A-36,TOF-DW-A-46
8,TOF-N-A-9,TOF-N-A-25,TOF-N-A-41,TOF-S-A-13,TOF-S-A-29,TOF-UP-A-1,TOF-UP-A-17,TOF-UP-A-33,TOF-DW-A-5,TOF-DW-A-21,TOF-DW-A-37,SPARE
9,TOF-N-A-10,TOF-N-A-26,TOF-N-A-42,TOF-S-A-14,TOF-S-A-30,TOF-UP-A-2,TOF-UP-A-18,TOF-UP-A-34,TOF-DW-A-6,TOF-DW-A-22,TOF-DW-A-38,SPARE
10,TOF-N-A-11,TOF-N-A-27,TOF-N-A-43,TOF-S-A-15,TOF-S-A-31,TOF-UP-A-3,TOF-UP-A-19,TOF-UP-A-35,TOF-DW-A-7,TOF-DW-A-23,TOF-DW-A-39,SPARE
11,TOF-N-A-12,TOF-N-A-28,TOF-N-A-44,TOF-S-A-16,TOF-S-A-32,TOF-UP-A-4,TOF-UP-A-20,TOF-UP-A-36,TOF-DW-A-8,TOF-DW-A-24,TOF-DW-A-40,SPARE
12,TOF-N-A-13,TOF-N-A-29,TOF-S-A-1,TOF-S-A-17,TOF-S-A-33,TOF-UP-A-5,TOF-UP-A-21,TOF-UP-A-37,TOF-DW-A-9,TOF-DW-A-25,TOF-DW-A-41,SPARE
13,TOF-N-A-14,TOF-N-A-30,TOF-S-A-2,TOF-S-A-18,TOF-S-A-34,TOF-UP-A-6,TOF-UP-A-22,TOF-UP-A-38,TOF-DW-A-10,TOF-DW-A-26,TOF-DW-A-42,SPARE
14,TOF-N-A-15,TOF-N-A-31,TOF-S-A-3,TOF-S-A-19,TOF-S-A-35,TOF-UP-A-7,TOF-UP-A-23,TOF-UP-A-39,TOF-DW-A-11,TOF-DW-A-27,TOF-DW-A-43,SPARE
15,TOF-N-A-16,TOF-N-A-32,TOF-S-A-4,TOF-S-A-20,TOF-S-A-36,TOF-UP-A-8,TOF-UP-A-24,TOF-UP-A-40,TOF-DW-A-12,TOF-DW-A-28,TOF-DW-A-44,DIRC-LED-OUTP
